日期,注册天数,签到第几天,锁仓绩效积分,可用绩效积分,养老绩效积分,当前累计贡献值,,,,,,,,,,
2020年5月15日,76,7,187.850006,0.52,2.91,437905,,,,,,,,,,
日期,注册天数,登陆第几天,签到贡献值,阅读倍数,阅读贡献值,分享贡献值,广告贡献值,今日获取的总贡献值,转换比,贡献值转换成积分,释放比,释放积分,锁仓绩效积分,可用绩效积分,养老绩效积分,累计贡献值
2020年9月21日,204,2,24,8,540,50,160,774,5190.180176,0.149128,0.0006,0.116907,194.728119,22.24835,8.342087,614571
2020年9月22日,205,3,36,8,540,50,160,786,5190.180176,0.15144,0.0006,0.116928,194.762634,22.341892,8.365473,615357
2020年9月23日,206,4,48,8,540,50,160,798,5190.180176,0.153752,0.0006,0.11695,194.799438,22.435452,8.388863,616155
2020年9月24日,207,5,60,8,540,50,160,810,5190.180176,0.156064,0.0006,0.116973,194.838531,22.52903,8.412257,616965
2020年9月25日,208,6,72,8,540,50,160,822,5190.180176,0.158376,0.0006,0.116998,194.879898,22.622629,8.435657,617787
2020年9月26日,209,7,1376,8,540,50,160,2126,5190.180176,0.40962,0.0006,0.117174,195.172348,22.716368,8.459091,619913
2020年9月27日,210,1,12,8,540,50,160,762,5190.180176,0.146816,0.0006,0.117192,195.201981,22.810122,8.48253,620675
2020年9月28日,211,2,24,8,540,50,160,774,5190.180176,0.149128,0.0004,0.07814,195.272964,22.872633,8.498158,621449
2020年9月29日,212,3,36,8,540,50,160,786,5190.180176,0.15144,0.0004,0.07817,195.346237,22.935169,8.513791,622235
2020年9月30日,213,4,48,8,540,50,160,798,5190.180176,0.153752,0.0004,0.0782,195.421783,22.997728,8.529431,623033
2020年10月1日,214,5,60,8,540,50,160,810,5190.180176,0.156064,0.0004,0.078231,195.499619,23.060314,8.545077,623843
2020年10月2日,215,6,72,8,540,50,160,822,5190.180176,0.158376,0.0004,0.078263,195.579727,23.122925,8.56073,624665
2020年10月3日,216,7,1376,8,540,50,160,2126,5190.180176,0.40962,0.0004,0.078396,195.91095,23.185642,8.576409,626791
2020年10月4日,217,1,12,8,540,50,160,762,5190.180176,0.146816,0.0004,0.078423,195.97934,23.248381,8.592094,627553
2020年10月5日,218,2,24,8,540,50,160,774,5190.180176,0.149128,0.0004,0.078451,196.050018,23.311142,8.607784,628327
2020年10月6日,219,3,36,8,540,50,160,786,5190.180176,0.15144,0.0004,0.078481,196.122986,23.373926,8.623481,629113
2020年10月7日,220,4,48,8,540,50,160,798,5190.180176,0.153752,0.0004,0.078511,196.198227,23.436735,8.639183,629911
2020年10月8日,221,5,60,8,540,50,160,810,5190.180176,0.156064,0.0004,0.078542,196.275757,23.499569,8.654891,630721
2020年10月9日,222,6,72,8,540,50,160,822,5190.180176,0.158376,0.0004,0.078574,196.35556,23.562428,8.670606,631543
2020年10月10日,223,7,1376,8,540,50,160,2126,5190.180176,0.40962,0.0004,0.078706,196.686478,23.625393,8.686347,633669
2020年10月11日,224,1,12,8,540,50,160,762,5190.180176,0.146816,0.0004,0.078733,196.754562,23.688379,8.702094,634431
2020年10月12日,225,2,24,8,540,50,160,774,5190.180176,0.149128,0.0004,0.078761,196.824921,23.751389,8.717846,635205
2020年10月13日,226,3,36,8,540,50,160,786,5190.180176,0.15144,0.0004,0.078791,196.897568,23.814421,8.733604,635991
2020年10月14日,227,4,48,8,540,50,160,798,5190.180176,0.153752,0.0004,0.078821,196.972488,23.877478,8.749369,636789
2020年10月15日,228,5,60,8,540,50,160,810,5190.180176,0.156064,0.0004,0.078851,197.049698,23.940559,8.765139,637599
2020年10月16日,229,6,72,8,540,50,160,822,5190.180176,0.158376,0.0004,0.078883,197.129181,24.003666,8.780915,638421
2020年10月17日,230,7,1376,8,540,50,160,2126,5190.180176,0.40962,0.0004,0.079016,197.459793,24.066879,8.796719,640547
2020年10月18日,231,1,12,8,540,50,160,762,5190.180176,0.146816,0.0004,0.079043,197.527573,24.130114,8.812527,641309
2020年10月19日,232,2,24,8,540,50,160,774,5190.180176,0.149128,0.0004,0.079071,197.597626,24.193371,8.828341,642083
2020年10月20日,233,3,36,8,540,50,160,786,5190.180176,0.15144,0.0004,0.0791,197.669968,24.256651,8.84416,642869
